Sem a pandemia qual seria o seu ano provável de formatura?,Você atualmente possui acesso à internet?,Atualmente você consegue (você pode escolher várias opções):,Na questão anterior você selecionou todas as opções?,Qual equipamento te falta para realizar todas as atividades remotamente?,As condições do seu local de estudo são:,Atualmente o que falta em seu local de estudo para ele ser ótimo?,"Atualmente, quanto os livros da biblioteca física são importantes para seus estudos?",Quantas disciplinas a distância você conseguiria cursar em um semestre? Note que ela pode demandar mais tempo que uma disciplina presencial.,Quais seus motivos para não fazer aulas a distância? Seja sincero.,"Desconsiderando suas atuais limitações de acesso, quais disciplinas você estaria disposto a cursar a distância no próximo semestre? (você tem que ter o pré-requisito)","Para que uma disciplina possa ser oferecida a distância, quantos dos alunos interessados e que tenham o pré-requisito devem ter condições de cursá-la?",Quais tipos de disciplinas deveriam ser oferecidas a distância durante o isolamento social (você pode escolher várias opções ou nenhuma)?,"Faça aqui outros comentários, dúvidas para aprimorarmos nosso levantamento de dados"
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,PROBABILIDADE 2,"Alguns, basta haver alunos aptos e interessados","Optativas, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Espaço ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS","Muitos, 50% ou mais tem condições","Optativas, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, INTRODUÇÃO À TEORIA DAS FILAS, SÉRIES FINANCEIRAS","Alguns, basta haver alunos aptos e interessados","Optativas, Obrigatórias de ênfase, Obrigatórias gerais, ACIEPEs",Não considero o AVA como uma boa ferramenta e por isso acredito que não deve ser amplamente utilizada.
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Computador não compartilhado. ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1","Alguns, basta haver alunos aptos e interessados","Disciplinas de final de curso, Obrigatórias gerais, ACIEPEs",Gostaria de retomar as atividades acadêmicas o quanto antes. Acredito no potencial da UFSCar. 
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Nenhuma,"Aceitáveis, alguma dificuldade de concentração",Maior privacidade ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, PROBABILIDADE 1, PROBABILIDADE 2",Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Matérias de estudo, livros e anotações,  que ficaram em São Carlos ( e eu estou na minha cidade), e mais paz e tempo para estudar.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,Todos,ACIEPEs,
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,,"Aceitáveis, alguma dificuldade de concentração",Internet de boa qualidade e impressora ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,FUNDAMENTOS DE PROBABILIDADE,"Muitos, 50% ou mais tem condições",,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ANÁLISE DE RISCOS, ATUÁRIA GERAL, CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, ESTATÍSTICA NÃO-PARAMÉTRICA, ESTUDOS POPULACIONAIS, FUNDAMENTOS DE PROBABILIDADE, INFERÊNCIA ESTATÍSTICA (6 Créditos), INFERÊNCIA ESTATISTICA A, INFERÊNCIA ESTATISTICA B, INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, INTRODUÇÃO À TEORIA DAS FILAS, LABORATÓRIO DE ESTATÍSTICA APLICADA, MÉTODOS EM BIOMETRIA, MINERAÇÃO DE DADOS, PESQUISA DE MERCADO, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 2, PROBABILIDADE 1, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA, SÉRIES TEMPORAIS, SÉRIES FINANCEIRAS, TG1, TG2","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROGRAMAÇÃO ESTATÍSTICA","Quase todos, menos de 10% não tem condições","Optativas, Obrigatórias de recuperação",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Local que fosse com menos ou nenhum barulho (diferente de em casa que tem muito barulho), com espaço maior para estudo e mais apropriado","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTUDOS POPULACIONAIS, MÉTODOS EM BIOMETRIA, PESQUISA DE MERCADO",Todos,"Optativas, Disciplinas de final de curso, ACIEPEs","Acredito que as disciplinas possam ser ofertadas quando houver uma quantidade razoavel de interessados e em condições para cursá-la desde que os demais não sejam prejudicados, por exemplo com matérias obrigatórias, cuja dificuldade de acesso ou estudo a distância deixará essas pessoas para trás no curso e impedirá elas de fazer materias futuras por nao atender o pré requisito, isso nao pode ocorrer pois estará segregando as mesmas de uma coisa que elas nao tem culpa. Acho valido realizar um formulário correspondente a cada perfil para avaliar as materias cujo interesse é maior e que nao afete outras pessoas, como perfis de final de graduação, começo, repetentes (talvez realizar um ead das materias com repetentes seja menos complicado, do que com pessoas que nunca tiveram a matéria e que nao tem o minimo de aprendizado sobre o assunto e ainda mais em uma plataforma diferente, podendo adiantar essa materia e se capacitarem para fazer futuras materias com tal pre requisito)"
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Silêncio. Atualmente moro com a minha mãe em um apartamento na minha cidade de origem, onde por ser um prédio residencial, existem muitas crianças (incluindo recem nascidos). Sendo assim, frequentemente se ouve choro, ou alguma coisa caindo no andar de cima. Eu mesmo tenho uma certa dificuldade de concentração, e escolhi por não fazer nenhuma ACIEPE justamente por causa disso.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,FUNDAMENTOS DE PROBABILIDADE,Todos,"Optativas, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"ANÁLISE DE RISCOS, ATUÁRIA GERAL, CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTUDOS POPULACIONAIS, INTRODUÇÃO À TEORIA DAS FILAS, MÉTODOS EM BIOMETRIA, PESQUISA DE MERCADO, SÉRIES TEMPORAIS, SÉRIES FINANCEIRAS",Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Computador,"Aceitáveis, alguma dificuldade de concentração",Computador,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Nenhuma,"Dificuldade em acessar a plataforma, pois tenho apenas um celular, o que dificulta as coisas.",,Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,,"Ruins, muita dificuldade de concentração",Ser um espaço único para estudos,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Nenhuma,"Estou realizando jornada dupla de trabalho, logo não sobra tempo para focar nas atividades do EaD ",INTRODUÇÃO À ESTATÍSTICA,Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de recuperação",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Nenhum,"Aceitáveis, alguma dificuldade de concentração",Silêncio ,"Pouco, não dependo da biblioteca física para cursar disciplinas",Nenhuma,Tranquei o curso,,Todos,Optativas,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração",Ter um local para estudar sem barulho ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE REGRESSÃO, ESTATÍSTICA MULTIVARIADA 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, TG1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Não tenho um quarto sozinho, muito movimento durante o dia. Porém, isso é um problema que pode ser superado. ","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"MINERAÇÃO DE DADOS, TG1","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase","Acho que pra quem está no processo final do curso, tem que ter a chance de finaliza-la, dado que 90% da graduação tenha feito presencialmente. Fazer 2 disciplinas à distância, não interferiria na qualidade do profissional que chegará ao mercado "
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"MÉTODOS EM BIOMETRIA, MINERAÇÃO DE DADOS, SÉRIES FINANCEIRAS, TG1","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Privacidade ,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTUDOS POPULACIONAIS, PESQUISA DE MERCADO","Muitos, 50% ou mais tem condições","Optativas, Obrigatórias de ênfase","Gostaria que fosse ofertada a matéria de Teoria das Matrizes, uma vez que ela só é ministrada em semestre ímpar e pré requisitos para o restante do curso "
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"LABORATÓRIO DE ESTATÍSTICA APLICADA, TG2",Todos,"Optativas, Disciplinas de final de curso, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Ter um local de estudos isolado do restante da casa ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, ESTATÍSTICA NÃO-PARAMÉTRICA, INTRODUÇÃO À ESTATÍSTICA, MÉTODOS EM BIOMETRIA, SÉRIES TEMPORAIS","Quase todos, menos de 10% não tem condições","Optativas, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 2",Todos,"Optativas, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À ESTATÍSTICA,Todos,ACIEPEs,
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ESTATÍSTICA BAYESIANA, MINERAÇÃO DE DADOS, TG1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, ACIEPEs",Acho bacana algum levantamento relacionado à saúde mental.
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À TEORIA DAS FILAS, MINERAÇÃO DE DADOS, TG1","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos",Não,Nenhum,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, PROGRAMAÇÃO ESTATÍSTICA","Alguns, basta haver alunos aptos e interessados","Optativas, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,FUNDAMENTOS DE PROBABILIDADE,"Quase todos, menos de 10% não tem condições","Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Me falta um ambiente silêncioso ,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Espaço apropriado e calmo para concentração nos estudos.,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ESTUDOS POPULACIONAIS, INFERÊNCIA ESTATISTICA B, PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Menos ociosidade. Em geral, tenho bem mais dificuldade de concentração em casa, mas são bem mais aspectos psicológicos do que materiais","Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 2, PROGRAMAÇÃO ESTATÍSTICA","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Não possuo um computador devidamente adequado para fins práticos,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1","Quase todos, menos de 10% não tem condições","Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Um computador próprio,"Aceitáveis, alguma dificuldade de concentração",Um espaço mais isolado pra mim,,Todas de um semestre presencial,,"INTRODUÇÃO À ESTATÍSTICA, PROBABILIDADE 1",Todos,"Optativas, Disciplinas de final de curso","Há uma certa dificuldade de assistir aulas pelo computador, sendo que não tenho um próprio, teria que dividir um com meu irmão que já está fazendo EAD em outra universidade e provavelmente os horários de nossas aulas entrariam em conflito"
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, INFERÊNCIA ESTATISTICA A, MÉTODOS EM BIOMETRIA, PESQUISA DE MERCADO, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS","Muitos, 50% ou mais tem condições","Disciplinas de final de curso, Obrigatórias gerais, ACIEPEs","É uma boa vocês estudarem a probabilidade de dar as matérias que travam o curso, mas com uma qualidade boa para o aluno. Quem quiser cursar, cursa. Para que pelo menos possamos ter a chance de cursar essas matérias e não ficar parado nesse tempo de pandemia, poderia rolar até uma fase teste."
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,,"Aceitáveis, alguma dificuldade de concentração",Um ambiente silencioso pra melhor concentração ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, INFERÊNCIA ESTATISTICA A, PROBABILIDADE 2, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ESTATÍSTICA BAYESIANA, ESTATÍSTICA NÃO-PARAMÉTRICA, INFERÊNCIA ESTATISTICA B, MÉTODOS EM BIOMETRIA, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PROCESSOS ESTOCÁSTICOS","Muitos, 50% ou mais tem condições","Optativas, Obrigatórias de ênfase, Obrigatórias gerais","Olá, eu não entendi o que seria disciplinas ""obrigatórias de recuperação"", por isso não marquei essa opção."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ESTATÍSTICA BAYESIANA, ESTUDOS POPULACIONAIS, FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, INTRODUÇÃO À TEORIA DAS FILAS, LABORATÓRIO DE ESTATÍSTICA APLICADA, MINERAÇÃO DE DADOS, PROGRAMAÇÃO ESTATÍSTICA, SÉRIES FINANCEIRAS","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs","Acredito que a volta às aulas à distância seja fundamental para esse momento. A obrigação das universidades é ensinar. E em tempos de pandemia, acredito que qualquer forma de ensino é mil vezes melhor do que não fazer nada. Espero que esse segundo semestre volte com aulas à distância e com a contabilização do semestre. Um absurdo isso não acontecer. Universidades como a USP estão contabilizando até mesmo o primeiro semestre de aula à distância. Infelizmente algumas pessoas podem vir a não ter acesso a um computador ou algo do tipo, mas isso não é justificativa razoável para que o curso pare, uma vez que muitas pessoas, inclusive eu, estão pagando aluguel integral em São Carlos para NADA! Eu e muitos alunos queremos aulas! Independente da forma. Ingressei na universidade com o único intuito de estudar e construir uma base sólida de conhecimentos. Não oferecer nada que contabilize nota e presença  aos alunos nesse segundo semestre seria um absurdo e um desrespeito com os alunos que tem condições de assistir aulas online. Até porque, como foi dito no início função principal de uma Universidade é ensinar. Espero que tenha ficado claro meu posicionamento, que quis colocar de forma respeitosa e mais honesta o possível ."
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ESTATÍSTICA BAYESIANA, MINERAÇÃO DE DADOS",Todos,"Disciplinas de final de curso, Obrigatórias de recuperação",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","É ruim assistir aulas pelo computador, os olhos ardem.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, SÉRIES TEMPORAIS","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",Os docentes devem dar as aulas.
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Um melhor computador com memória e performance. ,"Ruins, muita dificuldade de concentração",Espaço dedicado ao estudo que não tenha circulação de pessoas próximas. ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs","Eu acredito que as aulas devem voltar pelo menos no 2 semestre, com todos os alunos de máscara obrigatória na sala de aula e se possível álcool gel nas salas de aula. Acredito que seremos eternamente obrigados a conviver com situações como essa no futuro e a higiene e conscientização de se viver protegido será necessária. Nada melhor que começar no ambiente de ensino. "
Ou após 2021,Sim,,Sim,,"Aceitáveis, alguma dificuldade de concentração",Família,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,PROBABILIDADE 1,Todos,Optativas,
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Um computador mais potente,"Aceitáveis, alguma dificuldade de concentração",Silêncio,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, PESQUISA DE MERCADO",Todos,"Optativas, ACIEPEs",
